;31.557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Part;Prix;Value;Device;Package;Description;MOUSER;MOUSER_PART_NUMBER;Mfr. No:;MOUSER_PRICE-STOCK;MP;MPN;OC_FARNELL;OC_NEWARK;PACKAGE;PACKAGING;PART-NUMBER;PINS;POPULARITY;PRICE;PU;RS_PART_NUMBER;RS_PRICE-STOCK;SPICEPREFIX;SUSUMU;TAIYO_YUDEN;TDK;TP_SIGNAL_NAME;TYPE;VALUE;VISHAY;WORKING-VOLTAGE
LED1;;SML-A15YTT86;SML-A15YTT86;SMLA15YTT86;Yellow 590nm LED Indication - Discrete 2.1V 2-SMD, No Lead;755-SML-A15YTT86;;;;;;;;;;;;;;0.25;;;;;;;;;;;
LS1;0.242;PKM13EPYH4002-B0;PKM13EPYH4002-B0;PKM13EPYH4002-B0;Transducer piezo PCB 30Vpp 70dB 12.6mm Murata Buzzer;81-PKM13EPYH4002-B0;;PKM13EPYH4002-B0;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/PKM13EPYH4002-B0?qs=flZjIlU0hx09jX8FupUNIw%3D%3D;;;;;;;;;;;;;;;;;;;;;;
OL2;0;0R-JUMPA;0R-JUMPA;A0R-JMP;SMD 0R 0805 Jumper;;;;;;;;;;;;;3;;;;;;;;;;;;;
OLED;0;;MA04-1;MA04-1;PIN HEADER;;;;;;;unknown;unknown;;;;;41;;;;;;;;;;;;;
P1;0;;MA03-1;MA03-1;PIN HEADER;;;;;;;unknown;unknown;;;;;48;;;;;;;;;;;;;
P2;0;;MA05-1;MA05-1;PIN HEADER;;;;;;;unknown;unknown;;;;;29;;;;;;;;;;;;;
P3;0;;MA05-1;MA05-1;PIN HEADER;;;;;;;unknown;unknown;;;;;29;;;;;;;;;;;;;
PGM;;20021321-00010C4LF;20021321-00010C4LF;2002132100010C4LF;Headers & Wire Housings 1.27x1.27mm BTB, Hdr Recept, SMT, 10 Pos;649-202132100010C4LF;;;https://www.mouser.com/Search/Refine.aspx?Keyword=649-202132100010C4LF;;;;;;;;;;;;;;;;;;;;;;
PWM;;PTR1TP09R;PTR1TP09R;TP09R;TEST PIN;;;;;;;;;;;;;1;;;;;;;;;;;;;
R1;0.001;1k;R-US_R0805;R0805;RESISTOR, American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R2;0.001;60k4;R-EU_R0805;R0805;RESISTOR, European symbol;603-RT0805FRE0760K4L;;;;;;;;;;;;86;;0.11;;;R;;;;;;;;
R3;0.001;10k;R-EU_M2012;M2012;RESISTOR, European symbol;;;;;;;;;;;;;0;;;;;R;;;;;;;;
R4;0.001;100k;R-US_R0805;R0805;RESISTOR, American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R5;0.001;15k;R-US_0204/2V;0204V;RESISTOR, American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R6;0.001;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R7;0.001;2k;R-EU_R0805;R0805;RESISTOR, European symbol;754-RR1220P-202D;;;;;;;;;;;;86;;;;;R;RR1220P-202-D;;;;;;;
R8;0.001;1k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;;;;86;;;;;R;;;;;;;;
R9;0.001;100k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;;;;86;;;;;R;;;;;;;;
R10;0.001;0R1;R-US_R2010;R2010;RESISTOR, American symbol;603-PE2010FKE070R1L;;;;;;;;;;;;;;0.7;;;;;;;;;;;
R11;0.001;10k;R-EU_M0805;M0805;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R12;0.001;4.12k;R-EU_R0805;R0805;RESISTOR, European symbol;660-RN732ATD4121F100;;;;;;;;;;;;86;;;;;R;;;;;;;;
R13;0.001;10k;R-EU_M0805;M0805;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R14;0.001;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R15;0.001;634k;R-EU_R0805;R0805;RESISTOR, European symbol;71-CRCW0603-634K-E3;;;;;;;;;;;;86;;;;;R;;;;;;;CRCW0603634KFKEA;
R16;0.001;7.68k;R-EU_R0805;R0805;RESISTOR, European symbol;71-CRCW0805-7.68K-E3;;;;;;;;;;;;86;;0.09;;;R;;;;;;;CRCW08057K68FKEA;
R17;0.001;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R18;0.001;10k;R-EU_M0805;M0805;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R19;0.001;10k;R-EU_M0805;M0805;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R20;0.001;47k;R-US_R0805;R0805;RESISTOR, American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R21;0.001;100k;R-US_R0805;R0805;RESISTOR, American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R22;0.001;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R25;0.001;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R26;0.001;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R27;0.001;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R28;0.001;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
S1;0.365;TL3336AF160Q;TL3336AF160Q;TL3336AF160Q;Tactile Switches Tactile Switch SPST OFF-(ON) 50mA, 12VDC, Right Angle SMT;612-TL3336AF160Q;;;https://www.mouser.co.uk/ProductDetail/E-Switch/TL3336AF160Q?qs=iLbezkQI%252Bshf0NMs3%252BGhxA%3D%3D;;;;;;;;;;;;;;;;;;;;;;
T1;0.5;MMBTA42;BC846;SOT23;NPN TRANSISTOR;;;;;;;;;;;;;13;;;;;;;;;;;;;
T2;0.5;MMBTA42;BC846;SOT23;NPN TRANSISTOR;;;;;;;;;;;;;13;;;;;;;;;;;;;
T3;0.5;MMBTA42;BC846;SOT23;NPN TRANSISTOR;;;;;;;;;;;;;13;;;;;;;;;;;;;
T4;0.111;BSS123;BSS123;SOT23;N-CHANNEL MOS FET;726-BSS123NH6433;;;;;;;;;;;;21;;0.37;;;;;;;;;;;
TUBES;;;MA07-1;MA07-1;PIN HEADER;;;;;;;unknown;unknown;;;;;4;;;;;;;;;;;;;
TUBES1;;;MA07-1;MA07-1;PIN HEADER;;;;;;;unknown;unknown;;;;;4;;;;;;;;;;;;;
U$4;0;FIDUCIAL;FIDUCIAL;FIDUCIAL_1MM;For use by pick and place machines to calibrate the vision/machine, 1mm;;;;;;;;;;;;;;;;;;;;;;;;;;
U$5;0;FIDUCIAL;FIDUCIAL;FIDUCIAL_1MM;For use by pick and place machines to calibrate the vision/machine, 1mm;;;;;;;;;;;;;;;;;;;;;;;;;;
U$20;0;FIDUCIAL;FIDUCIAL;FIDUCIAL_1MM;For use by pick and place machines to calibrate the vision/machine, 1mm;;;;;;;;;;;;;;;;;;;;;;;;;;
U$36;0;FIDUCIAL;FIDUCIAL;FIDUCIAL_1MM;For use by pick and place machines to calibrate the vision/machine, 1mm;;;;;;;;;;;;;;;;;;;;;;;;;;
Y1;;RV-3028-C7_32.768KHZ_1PPM_TA_Q;RV-3028-C7_32.768KHZ_1PPM_TA_Q;RV3028C732768KHZ1PPMTAQC;Real Time Clock 32.768kHz I2C Time Acc. 1ppm;;428-203591-MG01;;https://www.mouser.co.uk/ProductDetail/Micro-Crystal/RV-3028-C7-32768kHz-1ppm-TA-QC?qs=u16ybLDytRaU7ZFJl2AxfQ%3D%3D;;;;;;;;;;;;;;;;;;;;;;
PCB;1;PCB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
